country,county,updatedAt,stats,coordinates,province
Brazil,,2020-08-17 04:27:20,"{'confirmed': 111912, 'deaths': 3483, 'recovered': 93911}","{'latitude': '-3.4168', 'longitude': '-65.8561'}",Amazonas
Brazil,,2020-08-17 04:27:20,"{'confirmed': 216030, 'deaths': 4406, 'recovered': 196992}","{'latitude': '-12.5797', 'longitude': '-41.7007'}",Bahia
Brazil,,2020-08-17 04:27:20,"{'confirmed': 197619, 'deaths': 8133, 'recovered': 168327}","{'latitude': '-5.4984', 'longitude': '-39.3206'}",Ceara
Brazil,,2020-08-17 04:27:20,"{'confirmed': 136467, 'deaths': 1976, 'recovered': 114355}","{'latitude': '-15.7998', 'longitude': '-47.8645'}",Distrito Federal
Brazil,,2020-08-17 04:27:20,"{'confirmed': 99580, 'deaths': 2875, 'recovered': 85251}","{'latitude': '-19.1834', 'longitude': '-40.3089'}",Espirito Santo
Brazil,,2020-08-17 04:27:20,"{'confirmed': 101592, 'deaths': 2322, 'recovered': 92760}","{'latitude': '-15.827', 'longitude': '-49.8362'}",Goias
Brazil,,2020-08-17 04:27:20,"{'confirmed': 136853, 'deaths': 3264, 'recovered': 125778}","{'latitude': '-4.9609', 'longitude': '-45.2744'}",Maranhao
Brazil,,2020-08-17 04:27:20,"{'confirmed': 73269, 'deaths': 2340, 'recovered': 50261}","{'latitude': '-12.6819', 'longitude': '-56.9211'}",Mato Grosso
Brazil,,2020-08-17 04:27:20,"{'confirmed': 36836, 'deaths': 626, 'recovered': 29668}","{'latitude': '-20.7722', 'longitude': '-54.7852'}",Mato Grosso do Sul
Brazil,,2020-08-17 04:27:20,"{'confirmed': 174402, 'deaths': 4132, 'recovered': 141083}","{'latitude': '-18.5122', 'longitude': '-44.555'}",Minas Gerais
Brazil,,2020-08-17 04:27:20,"{'confirmed': 177969, 'deaths': 5940, 'recovered': 163027}","{'latitude': '-1.9981', 'longitude': '-54.9306'}",Para
Brazil,,2020-08-17 04:27:20,"{'confirmed': 96033, 'deaths': 2162, 'recovered': 52891}","{'latitude': '-7.24', 'longitude': '-36.782'}",Paraiba
Brazil,,2020-08-17 04:27:20,"{'confirmed': 105104, 'deaths': 2691, 'recovered': 62333}","{'latitude': '-25.2521', 'longitude': '-52.0215'}",Parana
Brazil,,2020-08-17 04:27:20,"{'confirmed': 112958, 'deaths': 7188, 'recovered': 91421}","{'latitude': '-8.8137', 'longitude': '-36.9541'}",Pernambuco
Brazil,,2020-08-17 04:27:20,"{'confirmed': 66078, 'deaths': 1608, 'recovered': 63384}","{'latitude': '-7.7183', 'longitude': '-42.7289'}",Piaui
Brazil,,2020-08-17 04:27:20,"{'confirmed': 57720, 'deaths': 2067, 'recovered': 34186}","{'latitude': '-5.4026', 'longitude': '-36.9541'}",Rio Grande do Norte
Brazil,,2020-08-17 04:27:20,"{'confirmed': 97877, 'deaths': 2689, 'recovered': 87105}","{'latitude': '-30.0346', 'longitude': '-51.2177'}",Rio Grande do Sul
Brazil,,2020-08-17 04:27:20,"{'confirmed': 194279, 'deaths': 14562, 'recovered': 174747}","{'latitude': '-22.9068', 'longitude': '-43.1729'}",Rio de Janeiro
Brazil,,2020-08-17 04:27:20,"{'confirmed': 47837, 'deaths': 1013, 'recovered': 39366}","{'latitude': '-11.5057', 'longitude': '-63.5806'}",Rondonia
Brazil,,2020-08-17 04:27:20,"{'confirmed': 39623, 'deaths': 568, 'recovered': 9393}","{'latitude': '-2.7376', 'longitude': '-62.0751'}",Roraima
Brazil,,2020-08-17 04:27:20,"{'confirmed': 120880, 'deaths': 1797, 'recovered': 106856}","{'latitude': '-27.2423', 'longitude': '-50.2189'}",Santa Catarina
Brazil,,2020-08-17 04:27:20,"{'confirmed': 699493, 'deaths': 26852, 'recovered': 487345}","{'latitude': '-23.5505', 'longitude': '-46.6333'}",Sao Paulo
Brazil,,2020-08-17 04:27:20,"{'confirmed': 67997, 'deaths': 1705, 'recovered': 52842}","{'latitude': '-10.5741', 'longitude': '-37.3857'}",Sergipe
Brazil,,2020-08-17 04:27:20,"{'confirmed': 36989, 'deaths': 511, 'recovered': 22517}","{'latitude': '-10.1753', 'longitude': '-48.2982'}",Tocantins
Brunei,,2020-08-17 04:27:20,"{'confirmed': 142, 'deaths': 3, 'recovered': 138}","{'latitude': '4.5353', 'longitude': '114.7277'}",
Bulgaria,,2020-08-17 04:27:20,"{'confirmed': 14365, 'deaths': 498, 'recovered': 9186}","{'latitude': '42.7339', 'longitude': '25.4858'}",
Burkina Faso,,2020-08-17 04:27:20,"{'confirmed': 1267, 'deaths': 55, 'recovered': 1013}","{'latitude': '12.2383', 'longitude': '-1.5616'}",
Burma,,2020-08-17 04:27:20,"{'confirmed': 375, 'deaths': 6, 'recovered': 329}","{'latitude': '21.9162', 'longitude': '95.956'}",
Burundi,,2020-08-17 04:27:20,"{'confirmed': 413, 'deaths': 1, 'recovered': 315}","{'latitude': '-3.3731', 'longitude': '29.9189'}",
Cabo Verde,,2020-08-17 04:27:20,"{'confirmed': 3179, 'deaths': 35, 'recovered': 2317}","{'latitude': '16.5388', 'longitude': '-23.0418'}",
Cambodia,,2020-08-17 04:27:20,"{'confirmed': 273, 'deaths': 0, 'recovered': 238}","{'latitude': '11.55', 'longitude': '104.9167'}",
Cameroon,,2020-08-17 04:27:20,"{'confirmed': 18469, 'deaths': 401, 'recovered': 16540}","{'latitude': '3.848', 'longitude': '11.5021'}",
Canada,,2020-08-17 04:27:20,"{'confirmed': 12053, 'deaths': 221, 'recovered': 10796}","{'latitude': '53.9333', 'longitude': '-116.5765'}",Alberta
Canada,,2020-08-17 04:27:20,"{'confirmed': 4358, 'deaths': 196, 'recovered': 3533}","{'latitude': '53.7267', 'longitude': '-127.6476'}",British Columbia
Canada,,2020-08-17 04:27:20,"{'confirmed': 0, 'deaths': 1, 'recovered': 0}","{'latitude': '', 'longitude': ''}",Diamond Princess
Canada,,2020-08-17 04:27:20,"{'confirmed': 13, 'deaths': 0, 'recovered': 13}","{'latitude': '', 'longitude': ''}",Grand Princess
Canada,,2020-08-17 04:27:20,"{'confirmed': 697, 'deaths': 9, 'recovered': 483}","{'latitude': '53.7609', 'longitude': '-98.8139'}",Manitoba
Canada,,2020-08-17 04:27:20,"{'confirmed': 186, 'deaths': 2, 'recovered': 169}","{'latitude': '46.5653', 'longitude': '-66.4619'}",New Brunswick
Canada,,2020-08-17 04:27:20,"{'confirmed': 268, 'deaths': 3, 'recovered': 263}","{'latitude': '53.1355', 'longitude': '-57.6604'}",Newfoundland and Labrador
Canada,,2020-08-17 04:27:20,"{'confirmed': 5, 'deaths': 0, 'recovered': 5}","{'latitude': '64.8255', 'longitude': '-124.8457'}",Northwest Territories
Canada,,2020-08-17 04:27:20,"{'confirmed': 1074, 'deaths': 64, 'recovered': 1007}","{'latitude': '44.682', 'longitude': '-63.7443'}",Nova Scotia
Canada,,2020-08-17 04:27:20,"{'confirmed': 42563, 'deaths': 2836, 'recovered': 38670}","{'latitude': '51.2538', 'longitude': '-85.3232'}",Ontario
Canada,,2020-08-17 04:27:20,"{'confirmed': 41, 'deaths': 0, 'recovered': 36}","{'latitude': '46.5107', 'longitude': '-63.4168'}",Prince Edward Island
Canada,,2020-08-17 04:27:20,"{'confirmed': 61151, 'deaths': 5720, 'recovered': 53847}","{'latitude': '52.9399', 'longitude': '-73.5491'}",Quebec
Canada,,2020-08-17 04:27:20,"{'confirmed': 1580, 'deaths': 22, 'recovered': 1365}","{'latitude': '52.9399', 'longitude': '-106.4509'}",Saskatchewan
Canada,,2020-08-17 04:27:20,"{'confirmed': 15, 'deaths': 0, 'recovered': 15}","{'latitude': '64.2823', 'longitude': '-135.0'}",Yukon
Central African Republic,,2020-08-17 04:27:20,"{'confirmed': 4652, 'deaths': 61, 'recovered': 1728}","{'latitude': '6.6111', 'longitude': '20.9394'}",
Chad,,2020-08-17 04:27:20,"{'confirmed': 956, 'deaths': 76, 'recovered': 865}","{'latitude': '15.4542', 'longitude': '18.7322'}",
Chile,,2020-08-17 04:27:20,"{'confirmed': 16794, 'deaths': 403, 'recovered': 15363}","{'latitude': '-23.6509', 'longitude': '-70.3975'}",Antofagasta
Chile,,2020-08-17 04:27:20,"{'confirmed': 4639, 'deaths': 86, 'recovered': 4280}","{'latitude': '-38.9489', 'longitude': '-72.3311'}",Araucania
Chile,,2020-08-17 04:27:20,"{'confirmed': 5779, 'deaths': 85, 'recovered': 4911}","{'latitude': '-18.594', 'longitude': '-69.4785'}",Arica y Parinacota
Chile,,2020-08-17 04:27:20,"{'confirmed': 4569, 'deaths': 29, 'recovered': 3539}","{'latitude': '-27.5661', 'longitude': '-70.0503'}",Atacama
Chile,,2020-08-17 04:27:20,"{'confirmed': 98, 'deaths': 1, 'recovered': 85}","{'latitude': '-45.9864', 'longitude': '-73.7669'}",Aysen
Chile,,2020-08-17 04:27:20,"{'confirmed': 14050, 'deaths': 157, 'recovered': 12220}","{'latitude': '-37.4464', 'longitude': '-72.1416'}",Biobio
Chile,,2020-08-17 04:27:20,"{'confirmed': 8213, 'deaths': 98, 'recovered': 7128}","{'latitude': '-29.959', 'longitude': '-71.3389'}",Coquimbo
Chile,,2020-08-17 04:27:20,"{'confirmed': 5541, 'deaths': 56, 'recovered': 4610}","{'latitude': '-41.9198', 'longitude': '-72.1416'}",Los Lagos
Chile,,2020-08-17 04:27:20,"{'confirmed': 1011, 'deaths': 15, 'recovered': 931}","{'latitude': '-40.231', 'longitude': '-72.3311'}",Los Rios
Chile,,2020-08-17 04:27:20,"{'confirmed': 2317, 'deaths': 30, 'recovered': 1895}","{'latitude': '-52.368', 'longitude': '-70.9863'}",Magallanes
Chile,,2020-08-17 04:27:20,"{'confirmed': 10382, 'deaths': 219, 'recovered': 9320}","{'latitude': '-35.5183', 'longitude': '-71.6885'}",Maule
Chile,,2020-08-17 04:27:20,"{'confirmed': 266162, 'deaths': 8105, 'recovered': 252614}","{'latitude': '-33.4376', 'longitude': '-70.6505'}",Metropolitana
Chile,,2020-08-17 04:27:20,"{'confirmed': 3960, 'deaths': 73, 'recovered': 3614}","{'latitude': '-36.7226', 'longitude': '-71.7622'}",Nuble
Chile,,2020-08-17 04:27:20,"{'confirmed': 12185, 'deaths': 301, 'recovered': 11020}","{'latitude': '-34.5755', 'longitude': '-71.0022'}",OHiggins
Chile,,2020-08-17 04:27:20,"{'confirmed': 9879, 'deaths': 186, 'recovered': 9089}","{'latitude': '-19.9232', 'longitude': '-69.5132'}",Tarapaca
Chile,,2020-08-17 04:27:20,"{'confirmed': 64, 'deaths': 1, 'recovered': 63}","{'latitude': '', 'longitude': ''}",Unknown
Chile,,2020-08-17 04:27:20,"{'confirmed': 20303, 'deaths': 607, 'recovered': 18146}","{'latitude': '-33.0472', 'longitude': '-71.6127'}",Valparaiso
China,,2020-08-17 04:27:20,"{'confirmed': 991, 'deaths': 6, 'recovered': 985}","{'latitude': '31.8257', 'longitude': '117.2264'}",Anhui
China,,2020-08-17 04:27:20,"{'confirmed': 935, 'deaths': 9, 'recovered': 923}","{'latitude': '40.1824', 'longitude': '116.4142'}",Beijing
China,,2020-08-17 04:27:20,"{'confirmed': 583, 'deaths': 6, 'recovered': 577}","{'latitude': '30.0572', 'longitude': '107.874'}",Chongqing
China,,2020-08-17 04:27:20,"{'confirmed': 370, 'deaths': 1, 'recovered': 365}","{'latitude': '26.0789', 'longitude': '117.9874'}",Fujian
China,,2020-08-17 04:27:20,"{'confirmed': 169, 'deaths': 2, 'recovered': 167}","{'latitude': '35.7518', 'longitude': '104.2861'}",Gansu
China,,2020-08-17 04:27:20,"{'confirmed': 1720, 'deaths': 8, 'recovered': 1684}","{'latitude': '23.3417', 'longitude': '113.4244'}",Guangdong
China,,2020-08-17 04:27:20,"{'confirmed': 255, 'deaths': 2, 'recovered': 253}","{'latitude': '23.8298', 'longitude': '108.7881'}",Guangxi
China,,2020-08-17 04:27:20,"{'confirmed': 147, 'deaths': 2, 'recovered': 145}","{'latitude': '26.8154', 'longitude': '106.8748'}",Guizhou
China,,2020-08-17 04:27:20,"{'confirmed': 171, 'deaths': 6, 'recovered': 165}","{'latitude': '19.1959', 'longitude': '109.7453'}",Hainan
China,,2020-08-17 04:27:20,"{'confirmed': 351, 'deaths': 6, 'recovered': 343}","{'latitude': '37.8957', 'longitude': '114.9042'}",Hebei
China,,2020-08-17 04:27:20,"{'confirmed': 948, 'deaths': 13, 'recovered': 934}","{'latitude': '47.862', 'longitude': '127.7615'}",Heilongjiang
China,,2020-08-17 04:27:20,"{'confirmed': 1276, 'deaths': 22, 'recovered': 1254}","{'latitude': '33.882', 'longitude': '113.614'}",Henan
China,,2020-08-17 04:27:20,"{'confirmed': 4480, 'deaths': 69, 'recovered': 3549}","{'latitude': '22.3', 'longitude': '114.2'}",Hong Kong
China,,2020-08-17 04:27:20,"{'confirmed': 68139, 'deaths': 4512, 'recovered': 63625}","{'latitude': '30.9756', 'longitude': '112.2707'}",Hubei
China,,2020-08-17 04:27:20,"{'confirmed': 1019, 'deaths': 4, 'recovered': 1015}","{'latitude': '27.6104', 'longitude': '111.7088'}",Hunan
China,,2020-08-17 04:27:20,"{'confirmed': 260, 'deaths': 1, 'recovered': 256}","{'latitude': '44.0935', 'longitude': '113.9448'}",Inner Mongolia
China,,2020-08-17 04:27:20,"{'confirmed': 661, 'deaths': 0, 'recovered': 655}","{'latitude': '32.9711', 'longitude': '119.455'}",Jiangsu
China,,2020-08-17 04:27:20,"{'confirmed': 932, 'deaths': 1, 'recovered': 931}","{'latitude': '27.614', 'longitude': '115.7221'}",Jiangxi
China,,2020-08-17 04:27:20,"{'confirmed': 157, 'deaths': 2, 'recovered': 155}","{'latitude': '43.6661', 'longitude': '126.1923'}",Jilin
China,,2020-08-17 04:27:20,"{'confirmed': 261, 'deaths': 2, 'recovered': 227}","{'latitude': '41.2956', 'longitude': '122.6085'}",Liaoning
China,,2020-08-17 04:27:20,"{'confirmed': 46, 'deaths': 0, 'recovered': 46}","{'latitude': '22.1667', 'longitude': '113.55'}",Macau
China,,2020-08-17 04:27:20,"{'confirmed': 75, 'deaths': 0, 'recovered': 75}","{'latitude': '37.2692', 'longitude': '106.1655'}",Ningxia
China,,2020-08-17 04:27:20,"{'confirmed': 18, 'deaths': 0, 'recovered': 18}","{'latitude': '35.7452', 'longitude': '95.9956'}",Qinghai
China,,2020-08-17 04:27:20,"{'confirmed': 354, 'deaths': 3, 'recovered': 324}","{'latitude': '35.1917', 'longitude': '108.8701'}",Shaanxi
China,,2020-08-17 04:27:20,"{'confirmed': 822, 'deaths': 7, 'recovered': 790}","{'latitude': '36.3427', 'longitude': '118.1498'}",Shandong
China,,2020-08-17 04:27:20,"{'confirmed': 828, 'deaths': 7, 'recovered': 752}","{'latitude': '31.202', 'longitude': '121.4491'}",Shanghai
China,,2020-08-17 04:27:20,"{'confirmed': 201, 'deaths': 0, 'recovered': 201}","{'latitude': '37.5777', 'longitude': '112.2922'}",Shanxi
China,,2020-08-17 04:27:20,"{'confirmed': 626, 'deaths': 3, 'recovered': 606}","{'latitude': '30.6171', 'longitude': '102.7103'}",Sichuan
China,,2020-08-17 04:27:20,"{'confirmed': 207, 'deaths': 3, 'recovered': 202}","{'latitude': '39.3054', 'longitude': '117.323'}",Tianjin
China,,2020-08-17 04:27:20,"{'confirmed': 1, 'deaths': 0, 'recovered': 1}","{'latitude': '31.6927', 'longitude': '88.0924'}",Tibet
China,,2020-08-17 04:27:20,"{'confirmed': 902, 'deaths': 3, 'recovered': 521}","{'latitude': '41.1129', 'longitude': '85.2401'}",Xinjiang
China,,2020-08-17 04:27:20,"{'confirmed': 195, 'deaths': 2, 'recovered': 188}","{'latitude': '24.974', 'longitude': '101.487'}",Yunnan
China,,2020-08-17 04:27:20,"{'confirmed': 1275, 'deaths': 1, 'recovered': 1268}","{'latitude': '29.1832', 'longitude': '120.0934'}",Zhejiang
Colombia,,2020-08-17 04:27:20,"{'confirmed': 2661, 'deaths': 107, 'recovered': 2419}","{'latitude': '-1.4429', 'longitude': '-71.5724'}",Amazonas
Colombia,,2020-08-17 04:27:20,"{'confirmed': 62232, 'deaths': 1161, 'recovered': 35264}","{'latitude': '7.1986', 'longitude': '-75.3412'}",Antioquia
Colombia,,2020-08-17 04:27:20,"{'confirmed': 610, 'deaths': 10, 'recovered': 245}","{'latitude': '7.0762', 'longitude': '-70.7105'}",Arauca
Colombia,,2020-08-17 04:27:20,"{'confirmed': 60832, 'deaths': 2765, 'recovered': 50182}","{'latitude': '10.6966', 'longitude': '-74.8741'}",Atlantico
Colombia,,2020-08-17 04:27:20,"{'confirmed': 21775, 'deaths': 644, 'recovered': 17947}","{'latitude': '8.6704', 'longitude': '-74.03'}",Bolivar
Colombia,,2020-08-17 04:27:20,"{'confirmed': 2174, 'deaths': 54, 'recovered': 946}","{'latitude': '5.4545', 'longitude': '-73.362'}",Boyaca
Colombia,,2020-08-17 04:27:20,"{'confirmed': 1658, 'deaths': 24, 'recovered': 802}","{'latitude': '5.2983', 'longitude': '-75.2479'}",Caldas
Colombia,,2020-08-17 04:27:20,"{'confirmed': 163295, 'deaths': 4358, 'recovered': 92318}","{'latitude': '4.711', 'longitude': '-74.0721'}",Capital District
Colombia,,2020-08-17 04:27:20,"{'confirmed': 3750, 'deaths': 103, 'recovered': 1520}","{'latitude': '0.8699', 'longitude': '-73.8419'}",Caqueta
Colombia,,2020-08-17 04:27:20,"{'confirmed': 655, 'deaths': 13, 'recovered': 287}","{'latitude': '5.7589', 'longitude': '-71.5724'}",Casanare
Colombia,,2020-08-17 04:27:20,"{'confirmed': 3300, 'deaths': 114, 'recovered': 1819}","{'latitude': '2.705', 'longitude': '-76.82600000000002'}",Cauca
Colombia,,2020-08-17 04:27:20,"{'confirmed': 5732, 'deaths': 124, 'recovered': 2884}","{'latitude': '9.3373', 'longitude': '-73.6536'}",Cesar
Colombia,,2020-08-17 04:27:20,"{'confirmed': 3468, 'deaths': 123, 'recovered': 2829}","{'latitude': '5.2528', 'longitude': '-76.82600000000002'}",Choco
Colombia,,2020-08-17 04:27:20,"{'confirmed': 13916, 'deaths': 949, 'recovered': 6558}","{'latitude': '8.0493', 'longitude': '-75.574'}",Cordoba
Colombia,,2020-08-17 04:27:20,"{'confirmed': 15180, 'deaths': 430, 'recovered': 8843}","{'latitude': '5.026', 'longitude': '-74.03'}",Cundinamarca
Colombia,,2020-08-17 04:27:20,"{'confirmed': 15, 'deaths': 1, 'recovered': 13}","{'latitude': '2.5854', 'longitude': '-68.5247'}",Guainia
Colombia,,2020-08-17 04:27:20,"{'confirmed': 196, 'deaths': 0, 'recovered': 103}","{'latitude': '1.0654', 'longitude': '-73.2603'}",Guaviare
Colombia,,2020-08-17 04:27:20,"{'confirmed': 2513, 'deaths': 67, 'recovered': 957}","{'latitude': '2.5359', 'longitude': '-75.5277'}",Huila
Colombia,,2020-08-17 04:27:20,"{'confirmed': 3508, 'deaths': 170, 'recovered': 2135}","{'latitude': '11.3548', 'longitude': '-72.5205'}",La Guajira
Colombia,,2020-08-17 04:27:20,"{'confirmed': 10179, 'deaths': 505, 'recovered': 6329}","{'latitude': '10.4113', 'longitude': '-74.4057'}",Magdalena
Colombia,,2020-08-17 04:27:20,"{'confirmed': 5227, 'deaths': 92, 'recovered': 2977}","{'latitude': '3.272', 'longitude': '-73.0877'}",Meta
Colombia,,2020-08-17 04:27:20,"{'confirmed': 11462, 'deaths': 409, 'recovered': 7354}","{'latitude': '1.2892', 'longitude': '-77.3579'}",Narino
Colombia,,2020-08-17 04:27:20,"{'confirmed': 6780, 'deaths': 386, 'recovered': 3080}","{'latitude': '7.9463', 'longitude': '-72.8988'}",Norte de Santander
Colombia,,2020-08-17 04:27:20,"{'confirmed': 1955, 'deaths': 89, 'recovered': 864}","{'latitude': '0.436', 'longitude': '-75.5277'}",Putumayo
Colombia,,2020-08-17 04:27:20,"{'confirmed': 670, 'deaths': 18, 'recovered': 325}","{'latitude': '4.461', 'longitude': '-75.6674'}",Quindio
Colombia,,2020-08-17 04:27:20,"{'confirmed': 3592, 'deaths': 62, 'recovered': 1498}","{'latitude': '5.3158', 'longitude': '-75.9928'}",Risaralda
Colombia,,2020-08-17 04:27:20,"{'confirmed': 92, 'deaths': 0, 'recovered': 40}","{'latitude': '12.5567', 'longitude': '-81.7185'}",San Andres y Providencia
Colombia,,2020-08-17 04:27:20,"{'confirmed': 10018, 'deaths': 397, 'recovered': 3747}","{'latitude': '6.6437', 'longitude': '-73.6536'}",Santander
Colombia,,2020-08-17 04:27:20,"{'confirmed': 8714, 'deaths': 419, 'recovered': 5784}","{'latitude': '8.814', 'longitude': '-74.7233'}",Sucre
Colombia,,2020-08-17 04:27:20,"{'confirmed': 4512, 'deaths': 101, 'recovered': 2376}","{'latitude': '4.0925', 'longitude': '-75.1545'}",Tolima
Colombia,,2020-08-17 04:27:20,"{'confirmed': 37515, 'deaths': 1401, 'recovered': 24926}","{'latitude': '3.8009', 'longitude': '-76.6413'}",Valle del Cauca
Colombia,,2020-08-17 04:27:20,"{'confirmed': 140, 'deaths': 1, 'recovered': 60}","{'latitude': '0.8554', 'longitude': '-70.812'}",Vaupes
Colombia,,2020-08-17 04:27:20,"{'confirmed': 6, 'deaths': 0, 'recovered': 5}","{'latitude': '4.4234', 'longitude': '-69.2878'}",Vichada
Comoros,,2020-08-17 04:27:20,"{'confirmed': 405, 'deaths': 7, 'recovered': 379}","{'latitude': '-11.6455', 'longitude': '43.3333'}",
Congo (Brazzaville),,2020-08-17 04:27:20,"{'confirmed': 3831, 'deaths': 76, 'recovered': 1625}","{'latitude': '-0.228', 'longitude': '15.8277'}",
Congo (Kinshasa),,2020-08-17 04:27:20,"{'confirmed': 9676, 'deaths': 240, 'recovered': 8705}","{'latitude': '-4.0383', 'longitude': '21.7587'}",
Costa Rica,,2020-08-17 04:27:20,"{'confirmed': 28465, 'deaths': 294, 'recovered': 9062}","{'latitude': '9.7489', 'longitude': '-83.7534'}",
Cote d'Ivoire,,2020-08-17 04:27:20,"{'confirmed': 17026, 'deaths': 110, 'recovered': 13947}","{'latitude': '7.54', 'longitude': '-5.5471'}",
Croatia,,2020-08-17 04:27:20,"{'confirmed': 6571, 'deaths': 166, 'recovered': 5220}","{'latitude': '45.1', 'longitude': '15.2'}",
Cuba,,2020-08-17 04:27:20,"{'confirmed': 3316, 'deaths': 88, 'recovered': 2620}","{'latitude': '21.521757', 'longitude': '-77.78116700000002'}",
